# Energy Flux
1.000000000000000000e+01 1.110899653824230654e+03
1.100000000000000000e+01 1.492078606906784216e+03
1.200000000000000000e+01 1.984109474437028666e+03
1.300000000000000000e+01 2.612140985391823506e+03
1.400000000000000000e+01 3.404745473459934601e+03
1.500000000000000000e+01 4.393693362340742169e+03
1.600000000000000000e+01 5.613476283413372585e+03
1.700000000000000000e+01 7.100535373963698476e+03
1.800000000000000000e+01 8.892161745938634340e+03
1.900000000000000000e+01 1.102505253044852179e+04
2.000000000000000000e+01 1.353352832366127041e+04
2.100000000000000000e+01 1.644744565771548878e+04
2.200000000000000000e+01 1.978986990836146651e+04
2.300000000000000000e+01 2.357460765558635103e+04
2.400000000000000000e+01 2.780373004531941478e+04
2.500000000000000000e+01 3.246524673583497497e+04
2.600000000000000000e+01 3.753110988513995835e+04
2.700000000000000000e+01 4.295573582107391849e+04
2.800000000000000000e+01 4.867522559599716624e+04
2.900000000000000000e+01 5.460744266397094179e+04
3.000000000000000000e+01 6.065306597126334236e+04
3.100000000000000000e+01 6.669768108584743459e+04
3.200000000000000000e+01 7.261490370736909972e+04
3.300000000000000000e+01 7.827045382418681402e+04
3.400000000000000000e+01 8.352702114112720301e+04
3.500000000000000000e+01 8.824969025845955184e+04
3.600000000000000000e+01 9.231163463866357051e+04
3.700000000000000000e+01 9.559974818331000279e+04
3.800000000000000000e+01 9.801986733067552268e+04
3.900000000000000000e+01 9.950124791926823673e+04
4.000000000000000000e+01 1.000000000000000000e+05
4.100000000000000000e+01 9.950124791926823673e+04
4.200000000000000000e+01 9.801986733067552268e+04
4.300000000000000000e+01 9.559974818331000279e+04
4.400000000000000000e+01 9.231163463866357051e+04
4.500000000000000000e+01 8.824969025845955184e+04
4.600000000000000000e+01 8.352702114112720301e+04
4.700000000000000000e+01 7.827045382418681402e+04
4.800000000000000000e+01 7.261490370736909972e+04
4.900000000000000000e+01 6.669768108584743459e+04
5.000000000000000000e+01 6.065306597126334236e+04
5.100000000000000000e+01 5.460744266397094179e+04
5.200000000000000000e+01 4.867522559599716624e+04
5.300000000000000000e+01 4.295573582107391849e+04
5.400000000000000000e+01 3.753110988513995835e+04
5.500000000000000000e+01 3.246524673583497497e+04
5.600000000000000000e+01 2.780373004531941478e+04
5.700000000000000000e+01 2.357460765558635103e+04
5.800000000000000000e+01 1.978986990836146651e+04
5.900000000000000000e+01 1.644744565771548878e+04
6.000000000000000000e+01 1.353352832366127041e+04
6.100000000000000000e+01 1.102505253044852179e+04
6.200000000000000000e+01 8.892161745938634340e+03
6.300000000000000000e+01 7.100535373963698476e+03
6.400000000000000000e+01 5.613476283413372585e+03
6.500000000000000000e+01 4.393693362340742169e+03
6.600000000000000000e+01 3.404745473459934601e+03
6.700000000000000000e+01 2.612140985391823506e+03
6.800000000000000000e+01 1.984109474437028666e+03
6.900000000000000000e+01 1.492078606906784216e+03
7.000000000000000000e+01 1.110899653824230654e+03
7.100000000000000000e+01 8.188701014374082661e+02
7.200000000000000000e+01 5.976022895005942246e+02
7.300000000000000000e+01 4.317840007633078017e+02
7.400000000000000000e+01 3.088715408236768667e+02
7.500000000000000000e+01 2.187491118182884975e+02
7.600000000000000000e+01 1.533810679324463138e+02
7.700000000000000000e+01 1.064766236667920509e+02
7.800000000000000000e+01 7.318024188804727714e+01
7.900000000000000000e+01 4.979554215032734987e+01
8.000000000000000000e+01 3.354626279025118407e+01
8.100000000000000000e+01 2.237457937206205472e+01
8.200000000000000000e+01 1.477483602320336331e+01
8.300000000000000000e+01 9.659341372218401389e+00
8.400000000000000000e+01 6.252150377482026400e+00
8.500000000000000000e+01 4.006529739295106474e+00
8.600000000000000000e+01 2.541934651619924601e+00
8.700000000000000000e+01 1.596678389780474605e+00
8.800000000000000000e+01 9.929504305851081236e-01
8.900000000000000000e+01 6.113567966371402651e-01
9.000000000000000000e+01 3.726653172078671084e-01
9.100000000000000000e+01 2.249055967032342618e-01
9.200000000000000000e+01 1.343812277631521446e-01
9.300000000000000000e+01 7.949393615349140130e-02
9.400000000000000000e+01 4.655715715783086822e-02
9.500000000000000000e+01 2.699578503363014165e-02
9.600000000000000000e+01 1.549753135702896731e-02
9.700000000000000000e+01 8.808179196460557206e-03
9.800000000000000000e+01 4.956405319172497992e-03
9.900000000000000000e+01 2.761242456828034725e-03
1.000000000000000000e+02 1.522997974471262906e-03
1.010000000000000000e+02 8.316702456828333010e-04
1.020000000000000000e+02 4.496349462280870121e-04
1.030000000000000000e+02 2.406722436301052010e-04
1.040000000000000000e+02 1.275407629526044027e-04
1.050000000000000000e+02 6.691586091292781242e-05
1.060000000000000000e+02 3.475891281239922324e-05
1.070000000000000000e+02 1.787558871127981292e-05
1.080000000000000000e+02 9.101470764487935291e-06
1.090000000000000000e+02 4.587962487139291953e-06
1.100000000000000000e+02 2.289734845645552981e-06
1.110000000000000000e+02 1.131377620006532748e-06
1.120000000000000000e+02 5.534610071701013492e-07
1.130000000000000000e+02 2.680547637312606836e-07
1.140000000000000000e+02 1.285337225133650191e-07
1.150000000000000000e+02 6.101936677605324348e-08
1.160000000000000000e+02 2.867975008888097945e-08
1.170000000000000000e+02 1.334566084821989188e-08
1.180000000000000000e+02 6.148396412704756029e-09
1.190000000000000000e+02 2.804404738222797052e-09
1.200000000000000000e+02 1.266416554909417637e-09
