Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  0.1770332
13  5.880053
14  84.29841
15  665.0958
16  3390.424
17  12106.07
18  33571.51
19  77020.88
20  151832.2
21  264480.5
22  422383.2
23  620622.5
24  860445.2
25  1.125827e+6
26  1.416990e+6
27  1.711519e+6
28  2.028327e+6
29  2.317040e+6
30  2.599040e+6
31  2.861434e+6
32  3.103810e+6
33  3.322367e+6
34  3.523056e+6
35  3.690960e+6
36  3.831118e+6
37  3.951293e+6
38  4.050761e+6
39  4.124573e+6
40  4.180326e+6
41  4.220182e+6
42  4.243739e+6
43  4.252080e+6
44  4.249937e+6
45  4.230967e+6
46  4.208020e+6
47  4.171858e+6
48  4.132163e+6
49  4.082888e+6
50  4.028634e+6
51  3.970499e+6
52  3.903986e+6
53  3.840126e+6
54  3.770312e+6
55  3.702504e+6
56  3.627242e+6
57  3.553267e+6
58  1.119675e+7
59  1.690987e+7
60  3.330191e+6
61  3.254254e+6
62  3.177820e+6
63  3.101896e+6
64  3.028542e+6
65  2.952963e+6
66  2.879378e+6
67  7.405917e+6
68  2.733636e+6
69  3.870204e+6
70  2.297057e+6
71  2.244483e+6
72  2.193466e+6
73  2.144539e+6
74  2.094198e+6
75  2.044807e+6
76  1.994048e+6
77  1.944908e+6
78  1.895266e+6
79  1.845997e+6
80  1.797089e+6
81  1.748459e+6
82  1.701172e+6
83  1.653104e+6
84  1.606416e+6
85  1.558877e+6
86  1.512491e+6
87  1.467071e+6
88  1.421410e+6
89  1.376713e+6
90  1.332075e+6
91  1.287983e+6
92  1.244509e+6
93  1.201314e+6
94  1.158858e+6
95  1.116631e+6
96  1.075003e+6
97  1.033214e+6
98  992379
99  951759.4
100  911307.4
101  871766.8
102  831337.5
103  791996
104  752494.8
105  713151.2
106  674276.4
107  634685.2
108  596149.3
109  556317.5
110  517292.9
111  477883.2
112  437885.6
113  398171.2
114  354100.1
115  311402.8
116  268925.5
117  226969.1
118  168249.8
119  82822.72
120  0
