Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
12  1.904381e-107
13  7.169999e-100
14  1.312263e-81
15  1.236393e-67
16  7.235332e-56
17  9.025466e-47
18  1.699113e-39
19  1.838904e-33
20  1.893038e-28
21  3.030481e-24
22  1.108794e-20
23  1.045548e-17
24  3.687588e-15
25  5.464967e-13
26  4.370744e-11
27  1.883106e-9
28  5.015152e-8
29  9.105940e-7
30  0.0000115
31  0.0001128
32  0.0007731
33  0.0046565
34  0.0247582
35  0.1032765
36  0.3390076
37  1.105649
38  3.193957
39  8.167632
40  18.52934
41  41.86383
42  85.92566
43  164.0062
44  298.2208
45  509.8807
46  841.3135
47  1321.624
48  2003.713
49  2961.483
50  4222.789
51  5877.584
52  7975.277
53  10579.88
54  13691.58
55  17518.01
56  21851.96
57  26636.37
58  102224.7
59  187303.8
60  45931.96
61  53336.07
62  61890.65
63  70161.03
64  79549.96
65  89045
66  99685.66
67  287290.5
68  120499.2
69  190279
70  7.167109
71  11.09602
72  15.31261
73  23.99633
74  34.65062
75  49.45762
76  68.89701
77  93.80305
78  127.6082
79  167.6215
80  220.0721
81  285.4371
82  361.828
83  452.8462
84  566.7798
85  692.201
86  835.6322
87  1008.515
88  1201.765
89  1415.313
90  1664.988
91  1935.092
92  2221.78
93  2548.205
94  2887.491
95  3267.963
96  3653.305
97  4077.069
98  4495.148
99  4948.482
100  5376.696
101  5836.102
102  6315.545
103  6748.666
104  7192.896
105  7646.176
106  8016.599
107  8366.811
108  8714.27
109  9016.787
110  9190.113
111  9305.42
112  9345.356
113  9207.137
114  8870.5
115  8450.48
116  7906.622
117  7229.088
118  5740.435
119  3028.846
120  0
