# Energy_keV  Phi_filtered
12.000000 0.000000
13.000000 0.000000
14.000000 0.000000
15.000000 0.000000
16.000000 0.000000
17.000000 0.000000
18.000000 0.000000
19.000000 0.000000
20.000000 0.000000
21.000000 0.000000
22.000000 0.000000
23.000000 0.000000
24.000000 0.000000
25.000000 0.000001
26.000000 0.000020
27.000000 0.000370
28.000000 0.006710
29.000000 0.117442
30.000000 2.018456
31.000000 4.708312
32.000000 10.820613
33.000000 24.540285
34.000000 55.134924
35.000000 122.383205
36.000000 269.143104
37.000000 588.128479
38.000000 1277.452734
39.000000 2755.893690
40.000000 5917.916906
41.000000 7985.731079
42.000000 10733.885421
43.000000 14375.882182
44.000000 19206.151883
45.000000 25557.730925
46.000000 33977.016382
47.000000 45025.832432
48.000000 59612.106204
49.000000 78731.636258
50.000000 103839.936316
51.000000 0.139856
52.000000 0.268510
53.000000 0.515722
54.000000 0.988701
55.000000 1.895837
56.000000 3.626600
57.000000 6.936951
58.000000 42.682556
59.000000 125.868301
60.000000 48.401956
61.000000 63.387293
62.000000 82.953946
63.000000 108.515552
64.000000 141.989211
65.000000 185.539655
66.000000 242.456826
67.000000 835.740730
68.000000 413.418976
69.000000 784.405399
70.000000 623.929447
71.000000 817.028161
72.000000 1070.061175
73.000000 1402.066598
74.000000 1834.887447
75.000000 2401.048909
76.000000 3137.915803
77.000000 4101.679624
78.000000 5356.607669
79.000000 6992.100347
80.000000 9122.276713
81.000000 9974.977504
82.000000 10907.557573
83.000000 11912.482641
84.000000 13010.169093
85.000000 14189.254733
86.000000 15472.601884
87.000000 16867.258485
88.000000 18366.886851
89.000000 19993.204741
90.000000 21741.549555
91.000000 23626.248247
92.000000 25656.977287
93.000000 27834.716504
94.000000 30177.503103
95.000000 32680.265538
96.000000 35359.685067
97.000000 38195.465763
98.000000 41230.814055
99.000000 44442.075707
100.000000 47824.988350
101.000000 47526.174290
102.000000 47081.734798
103.000000 46595.140813
104.000000 45990.030572
105.000000 45277.701000
106.000000 44471.652151
107.000000 43485.676497
108.000000 42431.213508
109.000000 41133.502459
110.000000 39733.062585
111.000000 38131.144577
112.000000 36296.211486
113.000000 34285.700889
114.000000 31674.647628
115.000000 28936.820531
116.000000 25959.889352
117.000000 22760.413225
118.000000 17527.118320
119.000000 8962.888748
120.000000 0.000000
