# Energy_keV  Phi_filtered
12.000000 0.000000
13.000000 0.000000
14.000000 0.000000
15.000000 0.000000
16.000000 0.000000
17.000000 0.000000
18.000000 0.000000
19.000000 0.000000
20.000000 0.000000
21.000000 0.000000
22.000000 0.000000
23.000000 0.000001
24.000000 0.000009
25.000000 0.000111
26.000000 0.001273
27.000000 0.014062
28.000000 0.152462
29.000000 1.593322
30.000000 16.350406
31.000000 33.813274
32.000000 68.894817
33.000000 138.524615
34.000000 275.922313
35.000000 542.993389
36.000000 1058.689630
37.000000 2051.021878
38.000000 3949.622654
39.000000 7554.155266
40.000000 14381.526671
41.000000 18634.860259
42.000000 24051.587417
43.000000 30931.189815
44.000000 39680.561709
45.000000 50703.165833
46.000000 64725.192986
47.000000 82361.679910
48.000000 104706.403626
49.000000 132789.392770
50.000000 168172.062976
51.000000 186744.628114
52.000000 206879.885479
53.000000 229278.049630
54.000000 253630.386416
55.000000 280625.103269
56.000000 309752.273064
57.000000 341879.296638
58.000000 1213791.046073
59.000000 2065376.377881
60.000000 458284.393855
61.000000 471449.901276
62.000000 484653.744012
63.000000 498021.035662
64.000000 511884.797365
65.000000 525429.935404
66.000000 539353.703600
67.000000 1460400.590732
68.000000 567481.908846
69.000000 845791.603594
70.000000 528468.931480
71.000000 543603.425694
72.000000 559261.531727
73.000000 575620.385140
74.000000 591749.819185
75.000000 608262.290321
76.000000 624442.356866
77.000000 641171.168082
78.000000 657753.655218
79.000000 674438.363147
80.000000 691192.531664
81.000000 689593.886362
82.000000 688009.878978
83.000000 685575.238818
84.000000 683158.484703
85.000000 679804.121839
86.000000 676352.721330
87.000000 672728.882258
88.000000 668369.781721
89.000000 70995.986954
90.000000 73694.854115
91.000000 76442.822633
92.000000 79239.682001
93.000000 82057.696026
94.000000 84920.218323
95.000000 87782.644020
96.000000 90662.303999
97.000000 93481.453369
98.000000 96323.185643
99.000000 99105.679813
100.000000 101801.544075
101.000000 100142.428429
102.000000 98202.713719
103.000000 96204.952852
104.000000 93995.328695
105.000000 91603.635490
106.000000 89063.011702
107.000000 86207.710958
108.000000 83266.652514
109.000000 79903.741138
110.000000 76402.792901
111.000000 72580.976163
112.000000 68389.594718
113.000000 63948.083801
114.000000 58480.633113
115.000000 52885.529182
116.000000 46965.035042
117.000000 40760.333276
118.000000 31070.902796
119.000000 15728.131431
120.000000 0.000000
