Energy[keV]  N[keV cm^2 mAs]^-1 @ 1 meter
10  5.397030e-6
11  0.0016655
12  0.14677
13  5.116441
14  75.60487
15  607.6759
16  3125.166
17  11194.65
18  31037.07
19  70917.96
20  138928.5
21  240268.5
22  380431.3
23  554471.9
24  762128
25  988741.8
26  1.234150e+6
27  1.478561e+6
28  1.739698e+6
29  1.971164e+6
30  2.195946e+6
31  2.401065e+6
32  2.587664e+6
33  2.752656e+6
34  2.899980e+6
35  3.020934e+6
36  3.118730e+6
37  3.198686e+6
38  3.261678e+6
39  3.303291e+6
40  3.332042e+6
41  3.345479e+6
42  3.348432e+6
43  3.338957e+6
44  3.321322e+6
45  3.291198e+6
46  3.257204e+6
47  3.214848e+6
48  3.168439e+6
49  3.116465e+6
50  3.060650e+6
51  3.001465e+6
52  2.937101e+6
53  2.873663e+6
54  2.808039e+6
55  2.742945e+6
56  2.673624e+6
57  2.604340e+6
58  5.936750e+6
59  8.418396e+6
60  2.398898e+6
61  2.329726e+6
62  2.260804e+6
63  2.191943e+6
64  2.125842e+6
65  2.057314e+6
66  1.991990e+6
67  3.955199e+6
68  1.861279e+6
69  2.330675e+6
70  1.597601e+6
71  1.544906e+6
72  1.494111e+6
73  1.443761e+6
74  1.393442e+6
75  1.343228e+6
76  1.293213e+6
77  1.243217e+6
78  1.194313e+6
79  1.144855e+6
80  1.096367e+6
81  1.047419e+6
82  999887.3
83  951417.4
84  903879.8
85  855680.3
86  808669
87  760820.4
88  713860.9
89  665583.5
90  618672.7
91  569882.4
92  522470.3
93  472803.9
94  424397.5
95  370129.9
96  317118.9
97  264016.9
98  212388.6
99  104719.4
100  0
