# Energy Flux
1.000000000000000000e+01 4.807389528390281441e+01
1.100000000000000000e+01 6.686925615101405640e+01
1.200000000000000000e+01 9.239497975633025817e+01
1.300000000000000000e+01 1.268162657037432268e+02
1.400000000000000000e+01 1.729044815409426405e+02
1.500000000000000000e+01 2.341759241582348920e+02
1.600000000000000000e+01 3.150525064875254202e+02
1.700000000000000000e+01 4.210448298412524082e+02
1.800000000000000000e+01 5.589570550073686945e+02
1.900000000000000000e+01 7.371116049949315538e+02
2.000000000000000000e+01 9.655899987662883177e+02
2.100000000000000000e+01 1.256484028160223488e+03
2.200000000000000000e+01 1.624149076197609702e+03
2.300000000000000000e+01 2.085448694327646081e+03
2.400000000000000000e+01 2.659976708488753502e+03
2.500000000000000000e+01 3.370240251989502212e+03
2.600000000000000000e+01 4.241784414618711708e+03
2.700000000000000000e+01 5.303236881778836505e+03
2.800000000000000000e+01 6.586249279947354808e+03
2.900000000000000000e+01 8.125311234076953951e+03
3.000000000000000000e+01 9.957413673572789776e+03
3.100000000000000000e+01 1.212153997501806771e+04
3.200000000000000000e+01 1.465796733777688678e+04
3.300000000000000000e+01 1.760736651647451072e+04
3.400000000000000000e+01 2.100969574290033415e+04
3.500000000000000000e+01 2.490289428882459106e+04
3.600000000000000000e+01 2.932139242607002961e+04
3.700000000000000000e+01 3.429446713746368914e+04
3.800000000000000000e+01 3.984448625642512343e+04
3.900000000000000000e+01 4.598509703734477080e+04
4.000000000000000000e+01 5.271942762314535503e+04
4.100000000000000000e+01 6.003838052986602997e+04
4.200000000000000000e+01 6.791910512898782326e+04
4.300000000000000000e+01 7.632374023526535893e+04
4.400000000000000000e+01 8.519851748002613022e+04
4.500000000000000000e+01 9.447331054820293502e+04
4.600000000000000000e+01 1.040617042412613810e+05
4.700000000000000000e+01 1.138616406993256096e+05
4.800000000000000000e+01 1.237566783612281724e+05
4.900000000000000000e+01 1.336178731496221444e+05
5.000000000000000000e+01 1.433062621147578466e+05
5.100000000000000000e+01 1.526758988673706190e+05
5.200000000000000000e+01 1.615773593459982367e+05
5.300000000000000000e+01 1.698616077092103951e+05
5.400000000000000000e+01 1.773840873434314854e+05
5.500000000000000000e+01 1.840088829258646583e+05
5.600000000000000000e+01 1.896127876986791089e+05
5.700000000000000000e+01 1.940891067097016203e+05
5.800000000000000000e+01 1.973510323614391382e+05
5.900000000000000000e+01 1.993344432109046611e+05
6.000000000000000000e+01 2.000000000000000000e+05
6.100000000000000000e+01 1.993344432109046611e+05
6.200000000000000000e+01 1.973510323614391382e+05
6.300000000000000000e+01 1.940891067097016203e+05
6.400000000000000000e+01 1.896127876986791089e+05
6.500000000000000000e+01 1.840088829258646583e+05
6.600000000000000000e+01 1.773840873434314854e+05
6.700000000000000000e+01 1.698616077092103951e+05
6.800000000000000000e+01 1.615773593459982367e+05
6.900000000000000000e+01 1.526758988673706190e+05
7.000000000000000000e+01 1.433062621147578466e+05
7.100000000000000000e+01 1.336178731496221444e+05
7.200000000000000000e+01 1.237566783612281724e+05
7.300000000000000000e+01 1.138616406993256096e+05
7.400000000000000000e+01 1.040617042412613810e+05
7.500000000000000000e+01 9.447331054820293502e+04
7.600000000000000000e+01 8.519851748002613022e+04
7.700000000000000000e+01 7.632374023526535893e+04
7.800000000000000000e+01 6.791910512898782326e+04
7.900000000000000000e+01 6.003838052986602997e+04
8.000000000000000000e+01 5.271942762314535503e+04
8.100000000000000000e+01 4.598509703734477080e+04
8.200000000000000000e+01 3.984448625642512343e+04
8.300000000000000000e+01 3.429446713746368914e+04
8.400000000000000000e+01 2.932139242607002961e+04
8.500000000000000000e+01 2.490289428882459106e+04
8.600000000000000000e+01 2.100969574290033415e+04
8.700000000000000000e+01 1.760736651647451072e+04
8.800000000000000000e+01 1.465796733777688678e+04
8.900000000000000000e+01 1.212153997501806771e+04
9.000000000000000000e+01 9.957413673572789776e+03
9.100000000000000000e+01 8.125311234076953951e+03
9.200000000000000000e+01 6.586249279947354808e+03
9.300000000000000000e+01 5.303236881778836505e+03
9.400000000000000000e+01 4.241784414618711708e+03
9.500000000000000000e+01 3.370240251989502212e+03
9.600000000000000000e+01 2.659976708488753502e+03
9.700000000000000000e+01 2.085448694327646081e+03
9.800000000000000000e+01 1.624149076197609702e+03
9.900000000000000000e+01 1.256484028160223488e+03
1.000000000000000000e+02 9.655899987662883177e+02
1.010000000000000000e+02 7.371116049949315538e+02
1.020000000000000000e+02 5.589570550073686945e+02
1.030000000000000000e+02 4.210448298412524082e+02
1.040000000000000000e+02 3.150525064875254202e+02
1.050000000000000000e+02 2.341759241582348920e+02
1.060000000000000000e+02 1.729044815409426405e+02
1.070000000000000000e+02 1.268162657037432268e+02
1.080000000000000000e+02 9.239497975633025817e+01
1.090000000000000000e+02 6.686925615101405640e+01
1.100000000000000000e+02 4.807389528390281441e+01
1.110000000000000000e+02 3.433182084490609043e+01
1.120000000000000000e+02 2.435505224002915270e+01
1.130000000000000000e+02 1.716271523802562271e+01
1.140000000000000000e+02 1.201400010935387286e+01
1.150000000000000000e+02 8.353990360507546953e+00
1.160000000000000000e+02 5.770387939816099099e+00
1.170000000000000000e+02 3.959321394395872495e+00
1.180000000000000000e+02 2.698616710274866826e+00
1.190000000000000000e+02 1.827116995327219495e+00
1.200000000000000000e+02 1.228842470665642006e+00
