# Energy_keV  Phi_filtered
12.000000 0.000000
13.000000 0.000000
14.000000 0.000000
15.000000 0.000000
16.000000 0.000000
17.000000 0.000000
18.000000 0.000000
19.000000 0.000001
20.000000 0.000158
21.000000 0.001080
22.000000 0.006754
23.000000 0.038844
24.000000 0.210803
25.000000 1.079652
26.000000 5.319086
27.000000 25.148389
28.000000 116.660718
29.000000 521.649062
30.000000 2290.425081
31.000000 3670.493702
32.000000 5795.267685
33.000000 9029.497876
34.000000 13937.124035
35.000000 21253.505911
36.000000 32111.041584
37.000000 48206.513467
38.000000 71935.079862
39.000000 106615.593152
40.000000 157285.796899
41.000000 183578.970903
42.000000 213428.695776
43.000000 247239.562180
44.000000 285700.779688
45.000000 328837.218299
46.000000 378121.626563
47.000000 433406.713421
48.000000 496313.348206
49.000000 566967.770598
50.000000 646786.748473
51.000000 745.182226
52.000000 1023.845628
53.000000 1407.280062
54.000000 1930.728389
55.000000 2649.404443
56.000000 3626.920926
57.000000 4964.759666
58.000000 21861.059224
59.000000 46134.765774
60.000000 12695.974043
61.000000 14362.393708
62.000000 16236.154358
63.000000 18346.769619
64.000000 20736.930537
65.000000 23407.087287
66.000000 26422.052345
67.000000 78672.908164
68.000000 33617.510268
69.000000 55098.175209
70.000000 37857.647891
71.000000 42822.959005
72.000000 48447.319908
73.000000 54834.172746
74.000000 61988.850786
75.000000 70069.120285
76.000000 79102.179051
77.000000 89316.233204
78.000000 100758.108307
79.000000 113610.722487
80.000000 128037.272450
81.000000 132063.769415
82.000000 136219.057151
83.000000 140330.227333
84.000000 144567.436838
85.000000 148725.595815
86.000000 152977.681694
87.000000 157306.915846
88.000000 161576.225476
89.000000 165906.313561
90.000000 170180.417861
91.000000 174442.558154
92.000000 178690.624114
93.000000 182861.244177
94.000000 187006.526333
95.000000 191028.263845
96.000000 194966.067628
97.000000 198655.707099
98.000000 202278.506079
99.000000 205665.172816
100.000000 208766.055164
101.000000 203547.883498
102.000000 197840.369244
103.000000 192101.965485
104.000000 186030.263283
105.000000 179693.758382
106.000000 173165.197180
107.000000 166131.620363
108.000000 159045.082386
109.000000 151272.228959
110.000000 143365.376470
111.000000 134989.752907
112.000000 126069.775697
113.000000 116839.970326
114.000000 105905.598966
115.000000 94926.323728
116.000000 83554.031763
117.000000 71874.268730
118.000000 54304.089643
119.000000 27245.748753
120.000000 0.000000
